,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
79, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-ex-sedan-4d/6686106194.html,Honda,Accord,67787, white,15999.0,,2015 Honda Accord EX Sedan 4D, clean, automatic,,, 1HGCR2F75FA067328,2015,79.0
80, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2015-honda-accord-ex-sedan-4d/6697243649.html,Honda,Accord,67787, white,15999.0, mid-size,2015 Honda Accord EX Sedan 4D, clean, automatic, sedan,, 1HGCR2F75FA067328,2015,80.0
81, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/sfv/cto/d/2016-honda-accord-in-good/6697166725.html,Honda,Accord,51000,,12500.0,,2016 Honda Accord in good condition 51k miles, salvage, automatic,,,,2016,81.0
82, excellent,,, gas,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord/6706285138.html,Honda,Accord,44000,,9300.0,,2014 HONDA ACCORD, salvage, automatic,,,,2014,82.0
83, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/ant/cto/d/honda/6706190918.html,Honda,Accord,92000, grey,9000.0,,Honda, clean, automatic, sedan,,,2012,83.0
84, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6706067156.html,Honda,Accord,50000, black,8200.0, compact,2012 Honda Accord EXL Fully Loaded, salvage, automatic, coupe,, 1HGCS2B82CA001446,2012,84.0
85, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6705763945.html,Honda,Accord,140000,,5500.0,,2008 Honda Accord, clean, automatic, sedan,,,2008,85.0
86, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex/6705686822.html,Honda,Accord,103000, silver,7500.0, mid-size,Honda Accord EX, clean, automatic, sedan,, 1HGCP36799A038057,2009,86.0
87, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-coupe/6705518979.html,Honda,Accord,57739, silver,7200.0, compact,2009 Honda  Accord Coupe, clean, automatic, coupe,,,2009,87.0
88, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2011-honda-accord-lx/6705297328.html,Honda,Accord,197355, white,5500.0, mid-size,2011 Honda Accord LX, clean, automatic, sedan,, 1HGCP2F38BA040802,2011,88.0
89, good, 6 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-coupe-v6-6speed/6687568275.html,Honda,Accord,14000, black,12500.0,,Honda accord coupe v6 6speed, clean, manual,,,,2008,89.0
90, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-sport/6705035499.html,Honda,Accord,49001, black,10990.0, full-size,"2015 HONDA ACCORD SPORT, MANUAL, LEATHER, 49K MILES", rebuilt, manual, sedan,, 1HGCR2E59FA040746,2015,90.0
91, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/clean-2012-honda-accord-coupe/6704986651.html,Honda,Accord,90000, grey,9300.0,,Clean 2012 Honda Accord Coupe, clean, automatic, coupe,,,2012,91.0
92, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2011/6704948057.html,Honda,Accord,144000, grey,7300.0, full-size,Honda Accord 2011, clean, automatic, sedan,,,2011,92.0
