,Title,Make,Model,Year,Condition,Cylinders,Drive,Fuel,Odometer,Paint_color,Size,Title_status,Transmission,Type,Price,VIN,Link
65,2012 HONDA CIVIC HYBRID 4DR,Honda,Civic,2012, excellent, 4 cylinders, fwd, hybrid,40000, grey, compact, salvage, automatic, sedan,"$7,400 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-hybrid-4dr/6701605719.html
66,Honda Civic lx 2016,Honda,Civic,2016, like new, 4 cylinders, fwd, gas,20000, silver, full-size, clean, automatic, sedan,"$15,000 ",,https://losangeles.craigslist.org/lgb/cto/d/honda-civic-lx-2016/6708387095.html
67,2014 HONDA CIVIC COUPE LX,Honda,Civic,2014, like new, 4 cylinders, fwd, gas,57413, black, compact, clean, automatic, coupe,"$9,800 ", 2HGFG3B55EH516682,https://losangeles.craigslist.org/lac/cto/d/2014-honda-civic-coupe-lx/6708386618.html
68,2013 Honda Civic LX 4-Door Black,Honda,Civic,2013, excellent, 4 cylinders, fwd, gas,61108, black, compact, clean, automatic, sedan,"$9,900 ",,https://losangeles.craigslist.org/wst/cto/d/2013-honda-civic-lx-4-door/6708348657.html
69,2008 honda civic,Honda,Civic,2008, like new, 4 cylinders,, gas,142925, blue,, clean, automatic,,"$6,999 ", 1HGFA16588L086234,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic/6708235392.html
70,HONDA CIVIC ****SI**** MUGEN,Honda,Civic,2008, good, 4 cylinders, fwd, gas,12700, blue, mid-size, clean, manual, sedan,"$12,700 ", 7xxxxxxx,https://losangeles.craigslist.org/wst/cto/d/honda-civic-si-mugen/6700091205.html
71,2010 Honda Civic 129k salvage,Honda,Civic,2010, excellent, 4 cylinders, fwd, gas,129, black,, salvage, automatic, sedan,"$3,999 ",,https://losangeles.craigslist.org/lac/cto/d/2010-honda-civic-129k-salvage/6686528409.html
72,Honda civic 2011 clean title,Honda,Civic,2011, excellent, 4 cylinders, fwd, gas,155000, silver, compact, clean, automatic, sedan,"$5,900 ",,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2011-clean-title/6689977236.html
73,2011 Honda Civic LX 4 Dr Automatic only 99K miles,Honda,Civic,2011, excellent, 4 cylinders, fwd, gas,99000, silver,, clean, automatic, sedan,"$7,700 ",,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-civic-lx-4-dr/6702078642.html
74,2013 Honda Civic LX Coupe 2D 68k Miles Original Owner Clean Title,Honda,Civic,2013, good, 4 cylinders, fwd, gas,68000, silver, compact, clean, automatic, coupe,"$9,000 ",,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-civic-lx-coupe-2d/6689668860.html
75,2013 Honda Civic LX Coupe 2D 68k Miles Original Owner Clean Title,Honda,Civic,2013, good, 4 cylinders, fwd, gas,68000, silver, compact, clean, automatic, coupe,"$9,000 ",,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-civic-lx-coupe-2d/6692517892.html
76,2017 Honda Civic EX Hatchback. TITLE IN HAND! PRICE REDUCED,Honda,Civic,2017, like new, 4 cylinders, fwd, gas,14282, black, mid-size, clean, automatic, hatchback,"$21,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-civic-ex-hatchback/6707680697.html
77,2017 HONDA CIVIC EX HATCHBACK. TITLE IN HAND!!! Price reduced,Honda,Civic,2017, like new, 4 cylinders, fwd, gas,14282, black, mid-size, clean, automatic, hatchback,"$21,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-civic-ex-hatchback/6707677507.html
78,2012 Honda civic,Honda,Civic,2012, good, 4 cylinders,, gas,102000, blue, mid-size, salvage, automatic, coupe,"$6,500 ",,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6707669156.html
79,2018 Honda Civic EX-T sedan with100k bumper 2 bumper warranty!like new,Honda,Civic,2018, like new, 4 cylinders, fwd, gas,5090, white, compact, clean, automatic, sedan,"$24,000 ",,https://losangeles.craigslist.org/lac/cto/d/2018-honda-civic-ex-sedan/6682723736.html
