,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
19,2008 Honda Civic LX 120k Tituló limpio,Toyota,Civic,2008, excellent,,, gas, 120000,,, clean, automatic, sedan,$5800,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-120k/6689088312.html
20,2010 Honda Civic LX,Toyota,Civic,2010, excellent, 4 cylinders,, gas, 120000,,, clean, automatic, sedan,$6800,,https://losangeles.craigslist.org/lac/cto/d/2010-honda-civic-lx/6707481306.html
21,12 HONDA CIVIC EXL AZUL,Toyota,Civic,2012, good, 4 cylinders,, gas, 62347,,, clean, automatic,,$10600,,https://losangeles.craigslist.org/sgv/cto/d/12-honda-civic-exl-azul/6710078206.html
22,"2012 HONDA CIVIC HYBRID 4DR SEDAN 48MPG 40K MILES, SALVAG",Toyota,Civic,2012, like new, 4 cylinders, fwd, hybrid, 40000, grey, compact, salvage, automatic, sedan,$7400,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-civic-hybrid-4dr/6690058474.html
23,***2012 HONDA CIVIC EX-L ORIGINAL OWNER LOW MILES CLEAN TITLE***,Toyota,Civic,2012, excellent, 4 cylinders,, gas, 132000,,, clean, automatic, sedan,$7800,,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-civic-ex-original/6706328787.html
24,2012 BMW 128i convertible clean title low miles,Toyota,Civic,2012, excellent, 6 cylinders, rwd, gas, 72000, grey, compact, clean, automatic, sedan,$13000,,https://losangeles.craigslist.org/sfv/cto/d/2012-bmw-128i-convertible/6705356089.html
25,2013 honda civic **,Toyota,Civic,2013, like new, 4 cylinders, fwd, gas, 93000, black, compact, clean, automatic, sedan,$8900,,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-civic/6692163140.html
26,2008 Honda Civic Excellent Condition,Toyota,Civic,2008, excellent, 4 cylinders, fwd, gas, 133121, grey, compact, clean, automatic, coupe,$4900,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6695224885.html
27,2008 Honda Civic Excellent Condition,Toyota,Civic,2008, excellent, 4 cylinders, fwd, gas, 134121, silver, compact, clean, automatic, coupe,$4900,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6704078569.html
28,2015 Honda Civic 22k miles BY OWNER,Toyota,Civic,2015, excellent, 4 cylinders, fwd, gas, 22000, white, compact, salvage, automatic, sedan,$10000, 19XFB2F52FE708284,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-civic-22k-miles-by/6709744236.html
29,2017 HONDA CIVIC LX  CLEAN TITLE,Toyota,Civic,2017, like new, 4 cylinders, fwd, gas, 14000, grey,, clean, automatic, sedan,$14900,,https://losangeles.craigslist.org/wst/cto/d/2017-honda-civic-lx-clean/6685405853.html
30,2017 Honda Civic,Toyota,Civic,2017, like new, 4 cylinders, fwd, gas, 17758, grey, full-size, clean, automatic, sedan,$15500, 2HGFC2F51HH506560,https://losangeles.craigslist.org/wst/cto/d/2017-honda-civic/6699828173.html
31,2015 Honda Civic,Toyota,Civic,2015, like new, 4 cylinders, fwd, gas, 48456, black, compact, salvage, automatic, sedan,$10500, Hola,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic/6709442091.html
32,2013 Honda Civic LX,Toyota,Civic,2013, excellent, 4 cylinders, fwd, gas, 111969, grey, compact, clean, automatic, sedan,$8750,,https://losangeles.craigslist.org/lac/cto/d/2013-honda-civic-lx/6690199770.html
33,>>> Honda Civic w Pioneer sound system and 12 inch subwoofer,Toyota,Civic,2008, excellent, 4 cylinders,, gas, 72698, white, compact, clean, automatic, coupe,$6500,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-pioneer-sound/6709421019.html
34,2014  HONDA / CIVIC  / EX / COUPE  / LOW MILEAGE / BACK,Toyota,Civic,2014, excellent, 4 cylinders, fwd, gas, 34523, grey, compact, clean, automatic, coupe,$13995, 2HGFG3B81EH523672,https://losangeles.craigslist.org/wst/cto/d/2014-honda-civic-ex-coupe-low/6696423031.html
35,Honda Civic Si 2017 (6kmiles),Toyota,Civic,2017, like new, 4 cylinders,, gas, 6000, grey,, salvage, manual,,$15500,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-sikmiles/6694745808.html
36,"Honda accord exl $5300 CLEAN TITLE 132,000 miles 2008 GOOD CONDITIONS",Toyota,Civic,2008, like new, 4 cylinders, rwd, gas, 132000, grey, compact, clean, automatic, sedan,$5300, J,https://losangeles.craigslist.org/lac/cto/d/honda-accord-exl-5300-clean/6709370034.html
37,2015 Honda Civic SE Sedan 4D  ** Clean Title - One Owner **,Toyota,Civic,2015, excellent, 4 cylinders, fwd, gas, 59600, black, compact, clean, automatic, sedan,$12500,,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic-se-sedan-4d/6709303091.html
38,2012 Honda civic EX 4 doors 80K miles automatic moon roof runs great,Toyota,Civic,2012, good, 4 cylinders, fwd, gas, 80600, black, mid-size, salvage, automatic, sedan,$5000,,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-civic-ex-4-doors/6695579017.html
39,"2008 HONDA CIVIC-EX, 2 DR COUPE,SUPER CLEAN ,CLEAN TITLE",Toyota,Civic,2008, excellent, 4 cylinders, fwd, gas, 130000, silver, compact, clean, automatic, coupe,$5300,,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-ex-2-dr/6703879281.html
40,2013 Honda Civic SI One Owner Clean Title,Toyota,Civic,2013, excellent, 4 cylinders, fwd, gas, 46000, blue,, clean, manual, sedan,$14500, 2HGFB6E50DH707632,https://losangeles.craigslist.org/wst/cto/d/2013-honda-civic-si-one-owner/6707331977.html
41,"2012 Honda CIVIC EX 4D Sedan *Low 71,802 Miles* Clean Title",Toyota,Civic,2012, good, 4 cylinders, fwd, gas, 71802, black,, clean, automatic, sedan,$9900, 2HGFB2F81CH329899,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-ex-4d-sedan/6709141203.html
42,2008 HONDA CIVIC HYBRID*CLEAN TITLE*Low Miles*CLEAN CAR FAX,Toyota,Civic,2008, excellent, 4 cylinders,, hybrid, 126000, grey,, clean, automatic, sedan,$5390, JHMFA36298S006198,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-hybridclean/6702755786.html
43,2011 Honda Civic EX Sedan 4D,Toyota,Civic,2011, excellent, 4 cylinders, fwd, gas, 69366, black,, clean, automatic, sedan,$9999, 2HGFA1F86BH536638,https://losangeles.craigslist.org/sgv/cto/d/2011-honda-civic-ex-sedan-4d/6685822479.html
44,2008 Honda Civic EX 4DR Sedan with 91k miles in Excellent Condition,Toyota,Civic,2008, excellent,,, gas, 95000,,, clean, automatic,,$7550,,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-ex-4dr-sedan/6705844924.html
45,"2015 HONDA CIVIC  (2011, 2012,2014,2013)",Toyota,Civic,2015, excellent,,, gas, 22000, blue,, clean, automatic, hatchback,$10999,,https://losangeles.craigslist.org/lac/cto/d/2015-honda-civic/6709035907.html
46,Excellent condition 2016 Honda Civic EX-L,Toyota,Civic,2016, excellent,, fwd, gas, 23600, black,, clean, automatic,,$17950,,https://losangeles.craigslist.org/lgb/cto/d/excellent-condition-2016/6698504176.html
47,2008 Honda Civic Excellent Condition,Toyota,Civic,2008, excellent, 4 cylinders, fwd, gas, 133121, silver, full-size, clean, automatic, coupe,$4900,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-excellent/6683301199.html
48,2011 Honda Civic EX Sedan,Toyota,Civic,2011, excellent, 4 cylinders, fwd, gas, 69366, black, compact, clean, automatic, sedan,$9999, 2HGFA1F86BH536638,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-civic-ex-sedan/6698118197.html
49,**2009 Honda Civic SI Sedan**,Toyota,Civic,2009, good, 4 cylinders, fwd, gas, 86000, blue, compact, clean, manual, sedan,$10500,,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-civic-si-sedan/6708986469.html
50,2012 Honda Civic,Toyota,Civic,2012, like new, 4 cylinders,, gas, 105000, blue,, clean, automatic,,$6700,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6708982744.html
51,Honda Civic EX Turbo Hatchback With Self Driving Honda Sensing,Toyota,Civic,2017, like new, 4 cylinders, rwd, gas, 9100, grey,, salvage, automatic,,$14200,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-ex-turbo/6697962784.html
