,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
141,2013 prius plung-in,Toyota,Prius,2013, like new, 4 cylinders, fwd, hybrid, 59450, grey, compact, clean, automatic, hatchback,$13500,,https://losangeles.craigslist.org/sgv/cto/d/2013-prius-plung-in/6705143190.html
142,2010 Toyota Prius Salvaged Low Miles  53000,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 53000, grey, compact, salvage, automatic, hatchback,$5999, JTDKN3DU0A1312985,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-salvaged/6705050751.html
143,2012 Toyota Prius plug-in Carpool / HOV lane access,Toyota,Prius,2012, excellent,, fwd, hybrid, 96000, white,, salvage, automatic, hatchback,$9500,,https://losangeles.craigslist.org/wst/cto/d/2012-toyota-prius-plug-in/6687046144.html
144,2009 Toyota Prius Hybrid,Toyota,Prius,2009, excellent, 4 cylinders, fwd, hybrid, 154000, silver,, salvage, automatic, sedan,$4300,,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-prius-hybrid/6680424755.html
145,"2010 Toyota Prius - Low Mileage, Leather Seats, Navigation",Toyota,Prius,2010, good, 4 cylinders,, hybrid, 123000, grey,, salvage, automatic,,$6200,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-low-mileage/6704852990.html
146,TOYOTA PRIUS,Toyota,Prius,2015, excellent, 4 cylinders, fwd, gas, 035000, white, compact, clean, automatic, hatchback,$13500,,https://losangeles.craigslist.org/lac/cto/d/toyota-prius/6692941270.html
147,2015 Toyota Prius,Toyota,Prius,2015, excellent, 4 cylinders, fwd, hybrid, 70000, grey, compact, clean, automatic,,$13000,,https://losangeles.craigslist.org/lgb/cto/d/2015-toyota-prius/6704773781.html
148,Prius II 2011 for sale by original owner,Toyota,Prius,2011, good, other, fwd, hybrid, 81223, grey,, clean, automatic, hatchback,$9500,,https://losangeles.craigslist.org/sfv/cto/d/prius-ii-2011-for-sale-by/6704702509.html
149,2010 Toyota Prius III,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 143000, white, compact, clean, automatic, hatchback,$7950,,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-iii/6701988207.html
150,2013 Prius Persona Special Edition,Toyota,Prius,2013, like new,,, hybrid, 113000,,, clean, automatic,,$10000,,https://losangeles.craigslist.org/lac/cto/d/2013-prius-persona-special/6704619002.html
